timestamp,total_cost,cost_change,cost_change_pct,LC_cost,LC_change
2025-08-20 20:28:03,3239.2000000000003,-68.79999999999973,-2.079806529625143,3239.2000000000003,-68.79999999999973
2025-08-20 20:30:19,3239.2000000000003,-68.79999999999973,-2.079806529625143,3239.2000000000003,-68.79999999999973
2025-08-21 08:18:00,3239.2000000000003,-68.79999999999973,-2.079806529625143,3239.2000000000003,-68.79999999999973
2025-08-21 08:29:41,3239.2000000000003,-68.79999999999973,-2.079806529625143,3239.2000000000003,-68.79999999999973
2025-08-21 08:31:29,3239.2000000000003,-68.79999999999973,-2.079806529625143,3239.2000000000003,-68.79999999999973
2025-08-21 08:46:55,3239.2000000000003,-68.79999999999973,-2.079806529625143,3239.2000000000003,-68.79999999999973
2025-08-21 08:54:15,3239.2000000000003,-68.79999999999973,-2.079806529625143,3239.2000000000003,-68.79999999999973
2025-08-21 09:06:34,3312.7999999999997,4.799999999999727,0.1451027811366302,3312.7999999999997,4.799999999999727
2025-08-21 09:46:19,3284.8,-23.199999999999818,-0.7013301088270804,3284.8,-23.199999999999818
2025-08-21 09:56:32,3302.4,-5.599999999999909,-0.1692865779927421,3302.4,-5.599999999999909
2025-08-21 15:53:03,3310.4,2.400000000000091,0.07255139056832197,3310.4,2.400000000000091
2025-08-22 02:43:00,3170.4,-137.5999999999999,-4.159613059250299,3170.4,-137.5999999999999
2025-08-22 02:47:07,3170.4,-137.5999999999999,-4.159613059250299,3170.4,-137.5999999999999
2025-08-22 02:50:30,3170.4,-137.5999999999999,-4.159613059250299,3170.4,-137.5999999999999
2025-08-22 02:52:28,3170.4,-137.5999999999999,-4.159613059250299,3170.4,-137.5999999999999
2025-08-22 02:55:41,3172.0,-136.0,-4.111245465538089,3172.0,-136.0
2025-08-22 03:01:03,3169.6,-138.4000000000001,-4.183796856106412,3169.6,-138.4000000000001
2025-08-22 03:01:44,3169.6,-138.4000000000001,-4.183796856106412,3169.6,-138.4000000000001
2025-08-22 03:06:07,3166.3999999999996,-141.60000000000036,-4.280532043530846,3166.3999999999996,-141.60000000000036
2025-08-22 03:06:56,3166.3999999999996,-141.60000000000036,-4.280532043530846,3166.3999999999996,-141.60000000000036
2025-08-22 11:17:38,3164.0,-144.0,-4.353083434099154,3164.0,-144.0
2025-08-22 11:19:18,3164.0,-144.0,-4.353083434099154,3164.0,-144.0
2025-08-22 11:20:14,3164.0,-144.0,-4.353083434099154,3164.0,-144.0
2025-08-22 15:11:30,3164.0,-144.0,-4.353083434099154,3164.0,-144.0
2025-08-27 10:23:54,3208.0,-100.0,-3.0229746070133015,3208.0,-100.0
2025-08-27 10:37:47,3200.0,-108.0,-3.2648125755743655,3200.0,-108.0
2025-08-27 22:57:04,3154.4,-153.5999999999999,-4.643288996372428,3154.4,-153.5999999999999
2025-08-28 00:42:02,3154.4,-153.5999999999999,-4.643288996372428,3154.4,-153.5999999999999
2025-08-28 21:38:18,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-08-28 21:57:56,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-08-30 10:59:41,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-08-30 19:28:43,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-08-30 20:17:08,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-08-30 20:40:17,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-08-30 20:49:00,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-09-01 16:55:45,3125.6,-182.4000000000001,-5.513905683192264,3125.6,-182.4000000000001
2025-09-01 16:58:13,3022.4,-285.5999999999999,-8.633615477629986,3022.4,-285.5999999999999
2025-09-02 17:12:54,2904.0,-404.0,-12.212817412333736,2904.0,-404.0
2025-09-02 23:17:46,2904.0,-404.0,-12.212817412333736,2904.0,-404.0
2025-09-03 08:50:36,2904.0,-404.0,-12.212817412333736,2904.0,-404.0
2025-09-09 14:39:05,2904.0,-404.0,-12.212817412333736,2904.0,-404.0
2025-09-10 09:32:42,2812.7999999999997,-495.2000000000003,-14.969770253929877,2812.7999999999997,-495.2000000000003
2025-09-11 13:30:27,2812.7999999999997,-495.2000000000003,-14.969770253929877,2812.7999999999997,-495.2000000000003
2025-09-11 13:30:44,2812.7999999999997,-495.2000000000003,-14.969770253929877,2812.7999999999997,-495.2000000000003
2025-09-13 09:25:37,2812.7999999999997,-495.2000000000003,-14.969770253929877,2812.7999999999997,-495.2000000000003
2025-09-13 20:02:18,2846.3999999999996,-461.60000000000036,-13.95405078597341,2846.3999999999996,-461.60000000000036
2025-09-13 21:55:35,2846.3999999999996,-461.60000000000036,-13.95405078597341,2846.3999999999996,-461.60000000000036
2025-09-15 09:27:06,2846.3999999999996,-461.60000000000036,-13.95405078597341,2846.3999999999996,-461.60000000000036
2025-09-15 14:38:36,2846.3999999999996,-461.60000000000036,-13.95405078597341,2846.3999999999996,-461.60000000000036
2025-09-16 19:16:58,2927.2000000000003,-380.7999999999997,-11.511487303506643,2927.2000000000003,-380.7999999999997
2025-09-17 12:12:36,2927.2000000000003,-380.7999999999997,-11.511487303506643,2927.2000000000003,-380.7999999999997
2025-09-17 12:40:52,2927.2000000000003,-380.7999999999997,-11.511487303506643,2927.2000000000003,-380.7999999999997
2025-09-17 12:50:56,2927.2000000000003,-380.7999999999997,-11.511487303506643,2927.2000000000003,-380.7999999999997
2025-09-18 09:30:32,2930.4,-377.5999999999999,-11.414752116082221,2930.4,-377.5999999999999
2025-09-21 15:37:33,2958.3999999999996,-349.60000000000036,-10.568319226118511,2958.3999999999996,-349.60000000000036
2025-09-22 11:25:42,2948.0,-360.0,-10.882708585247885,2948.0,-360.0
2025-10-04 01:13:57,2948.0,-360.0,-10.882708585247885,2948.0,-360.0
2025-10-04 15:28:07,2948.0,-360.0,-10.882708585247885,2948.0,-360.0
2025-10-16 20:55:49,3003.2,-304.8000000000002,-9.214026602176547,3003.2,-304.8000000000002
2025-10-19 20:45:15,3003.2,-304.8000000000002,-9.214026602176547,3003.2,-304.8000000000002
2025-10-23 13:43:18,3144.0,-164.0,-4.957678355501813,3144.0,-164.0
2026-03-24 12:10:23,6116.0,2808.0,84.8851269649335,6116.0,2808.0
2026-03-24 12:19:01,6116.0,2808.0,84.8851269649335,6116.0,2808.0
2026-03-24 13:47:07,6116.0,2808.0,84.8851269649335,6116.0,2808.0
2026-03-24 18:05:42,6117.6,2809.6000000000004,84.93349455864572,6117.6,2809.6000000000004
2026-03-24 18:07:43,6117.6,2809.6000000000004,84.93349455864572,6117.6,2809.6000000000004
